City,Latitude,Longitude,Temperature,Humidity,WindSpeed,PM2.5,PM10,NO2,CO,O3
Cairo,30.06263,31.24967,26.6,67,11.2,13.2,22.1,16.8,175.0,75.0
Alexandria,31.20176,29.91582,25.5,77,7.4,9.8,23.9,10.8,152.0,86.0
Giza,30.00944,31.20861,26.5,67,12.4,13.2,22.1,16.8,175.0,75.0
Riyadh,24.68773,46.72185,37.2,11,7.6,292.4,2548.1,17.8,159.0,74.0
Dubai,25.07725,55.30927,30.8,81,6.8,64.5,102.2,70.7,853.0,57.0
Abu Dhabi,24.45118,54.39696,32.6,77,3.6,41.0,61.7,27.1,171.0,80.0
London,51.50853,-0.12574,20.0,52,2.9,7.1,12.0,58.1,234.0,13.0
Paris,48.85341,2.3488,21.0,63,7.9,6.3,10.5,37.0,226.0,28.0
Berlin,52.52437,13.41053,17.0,53,6.7,7.8,12.7,26.0,223.0,45.0
Rome,41.89193,12.51133,24.2,74,2.7,8.8,19.2,29.8,182.0,53.0
Madrid,40.4165,-3.70256,26.0,17,1.0,8.5,12.6,49.8,163.0,47.0
New York,40.71427,-74.00597,27.4,35,15.2,6.6,7.1,1.5,138.0,118.0
Los Angeles,34.05223,-118.24368,33.2,48,11.3,25.0,33.6,10.4,156.0,116.0
Chicago,41.85003,-87.65005,25.3,49,17.1,8.6,9.2,3.2,148.0,122.0
Toronto,43.70643,-79.39864,21.4,51,9.7,7.5,7.6,9.8,228.0,105.0
Tokyo,35.6895,139.69171,19.8,97,3.4,16.9,17.2,43.9,420.0,31.0
Seoul,37.566,126.9784,17.2,78,2.5,32.4,34.2,66.6,473.0,2.0
Beijing,39.9075,116.39723,18.5,73,4.2,60.3,63.3,73.8,850.0,0.0
Singapore,1.28967,103.85007,25.9,95,2.8,16.4,21.3,15.5,1960.0,56.0
Sydney,-33.86785,151.20732,9.5,97,7.0,27.9,29.5,35.9,193.0,7.0
